"","vector_index","month_detected_july","st_grp","year_index","month_f","human_equine","indexP_lag1","pred","pred_lwr","pred_upr","year_grp"
"407",0.2403,0,"MA",17,"Aug",NA,1.0815213093878,10.1692329658665,1.78917570513081,57.7994094249701,"2019"
"408",0.2446,0,"MA",17,"Aug",NA,1.0815213093878,10.9359731081491,1.87611901456134,63.7462265953975,"2019"
"409",0.2489,0,"MA",17,"Aug",NA,1.0815213093878,11.7605239474392,1.96689424544386,70.3189425860968,"2019"
"410",0.2532,0,"MA",17,"Aug",NA,1.0815213093878,12.6472442964611,2.06166698849382,77.58420209814,"2019"
"411",0.2575,0,"MA",17,"Aug",NA,1.0815213093878,13.6008216138361,2.16060999634184,85.6157977999674,"2019"
"412",0.2618,0,"MA",17,"Aug",NA,1.0815213093878,14.6262967833358,2.26390348373679,94.4954407866846,"2019"
"413",0.2661,0,"MA",17,"Aug",NA,1.0815213093878,15.7290907614427,2.37173544087944,104.313614375962,"2019"
"414",0.2704,0,"MA",17,"Aug",NA,1.0815213093878,16.915033234084,2.48430196042294,115.170520278242,"2019"
"415",0.2747,0,"MA",17,"Aug",NA,1.0815213093878,18.1903934340273,2.60180757869895,127.17712716102,"2019"
"416",0.279,0,"MA",17,"Aug",NA,1.0815213093878,19.5619132818465,2.72446563175183,140.456332715942,"2019"
"417",0.2833,0,"MA",17,"Aug",NA,1.0815213093878,21.0368430256521,2.85249862678836,155.144251544897,"2019"
"418",0.2876,0,"MA",17,"Aug",NA,1.0815213093878,22.6229795679859,2.98613862967693,171.391642520253,"2019"
"419",0.2919,0,"MA",17,"Aug",NA,1.0815213093878,24.3287076824895,3.12562766915725,189.365490759048,"2019"
"420",0.2962,0,"MA",17,"Aug",NA,1.0815213093878,26.1630443382272,3.27121815845069,209.250760997315,"2019"
"421",0.3005,0,"MA",17,"Aug",NA,1.0815213093878,28.1356863659763,3.42317333499143,231.25234097635,"2019"
"422",0.3048,0,"MA",17,"Aug",NA,1.0815213093878,30.2570617184615,3.58176771902967,255.597195477211,"2019"
"423",0.3091,0,"MA",17,"Aug",NA,1.0815213093878,32.5383845955102,3.74728759189121,282.536753884693,"2019"
"424",0.3134,0,"MA",17,"Aug",NA,1.0815213093878,34.9917147255357,3.92003149471149,312.349556651557,"2019"
"425",0.3177,0,"MA",17,"Aug",NA,1.0815213093878,37.6300211167283,4.10031074849787,345.344188794513,"2019"
"426",0.322,0,"MA",17,"Aug",NA,1.0815213093878,40.4672506149593,4.28844999641085,381.862531615033,"2019"
"427",0.021,1,"CT",17,"Aug",NA,1.0815213093878,0.0662180946644537,0.0115173009301209,0.380717330179589,"2019"
"428",0.0253,1,"CT",17,"Aug",NA,1.0815213093878,0.0712108086179179,0.0127075473029181,0.399052558541588,"2019"
"429",0.0296,1,"CT",17,"Aug",NA,1.0815213093878,0.0765799633727587,0.014018022948605,0.418353630299674,"2019"
"430",0.0339,1,"CT",17,"Aug",NA,1.0815213093878,0.0823539418241833,0.0154604412003954,0.438679054890589,"2019"
"431",0.0382,1,"CT",17,"Aug",NA,1.0815213093878,0.0885632668818114,0.0170475884196078,0.460091600507997,"2019"
"432",0.0425,1,"CT",17,"Aug",NA,1.0815213093878,0.0952407628225479,0.0187934113329405,0.482658669164645,"2019"
"433",0.0468,1,"CT",17,"Aug",NA,1.0815213093878,0.102421728809145,0.0207131096715787,0.506452710316506,"2019"
"434",0.0511,1,"CT",17,"Aug",NA,1.0815213093878,0.110144125491722,0.0228232341189,0.531551677432513,"2019"
"435",0.0554,1,"CT",17,"Aug",NA,1.0815213093878,0.118448775678672,0.0251417895056053,0.558039532414685,"2019"
"436",0.0597,1,"CT",17,"Aug",NA,1.0815213093878,0.127379580137761,0.027688343109952,0.586006803355465,"2019"
"437",0.064,1,"CT",17,"Aug",NA,1.0815213093878,0.136983749668202,0.0304841378251815,0.61555120176829,"2019"
"438",0.0683,1,"CT",17,"Aug",NA,1.0815213093878,0.147312054670512,0.0335522098451466,0.646778306150433,"2019"
"439",0.0726,1,"CT",17,"Aug",NA,1.0815213093878,0.158419093533437,0.0369175103916965,0.679802319541043,"2019"
"440",0.0769,1,"CT",17,"Aug",NA,1.0815213093878,0.170363581256732,0.0406070308630844,0.714746909629494,"2019"
"441",0.0812,1,"CT",17,"Aug",NA,1.0815213093878,0.183208659835521,0.0446499306215127,0.751746140957174,"2019"
"442",0.0855,1,"CT",17,"Aug",NA,1.0815213093878,0.197022232047035,0.0490776664605879,0.79094550984751,"2019"
"443",0.0898,1,"CT",17,"Aug",NA,1.0815213093878,0.211877320404205,0.053924122601447,0.832503093902199,"2019"
"444",0.0941,1,"CT",17,"Aug",NA,1.0815213093878,0.227852453173655,0.0592257398622572,0.876590829223863,"2019"
"445",0.0984,1,"CT",17,"Aug",NA,1.0815213093878,0.245032079498691,0.0650216424336211,0.923395929974346,"2019"
"446",0.1027,1,"CT",17,"Aug",NA,1.0815213093878,0.263507015821741,0.071353760477675,0.973122466460675,"2019"
"447",0.107,1,"CT",17,"Aug",NA,1.0815213093878,0.283374925966174,0.0782669465586995,1.02599311966399,"2019"
"448",0.1113,1,"CT",17,"Aug",NA,1.0815213093878,0.30474083741534,0.0858090837172563,1.08225113199673,"2019"
"449",0.1156,1,"CT",17,"Aug",NA,1.0815213093878,0.327717696518033,0.0940311828297912,1.14216247609574,"2019"
"450",0.1199,1,"CT",17,"Aug",NA,1.0815213093878,0.352426965555354,0.102987466765082,1.20601826563877,"2019"
"451",0.1242,1,"CT",17,"Aug",NA,1.0815213093878,0.378999264825236,0.112735438773737,1.2741374345148,"2019"
"452",0.1285,1,"CT",17,"Aug",NA,1.0815213093878,0.407575063138887,0.123335932544819,1.34686971319005,"2019"
"453",0.1328,1,"CT",17,"Aug",NA,1.0815213093878,0.438305420379291,0.13485314145335,1.42459893379884,"2019"
